Afghanistan, Kabul
Albania, Tirana
Algeria, Algiers
Andorra, Andorra La Vella
Angola, Luanda
Antigua & Barbuda, Saint John's
Argentina, Buenos Aires
Armenia, Yerevan
Australia, Canberra
Austria, Vienna
Azerbaijan, Baku
Bahamas, Nassau
Bahrain, Manama
Bangladesh, Dhaka
Barbados, Bridgetown
Belarus, Minsk
Belgium, Brussels
Belize, Belmopan
Benin, Porto-Novo
Bhutan, Thimphu
Bolivia, Sucre
Bosnia & Herzegovina, Sarajevo
BOTSWANA, GABORONE
BRAZIL, BRASILIA
BRUNEI, BANDAR SERI BEGAWAN
BULGARIA, SOFIA
BURKINA FASO, OUAGADOUGOU
BURUNDI, GITEGA
CABO VERDE, PRAIA
CAMBODIA, PHNOM PENH
CAMEROON, YAOUNDE
CANADA, OTTAWA
CENTRAL AFRICAN REPUBLIC, BANGUI
CHAD, N'DJAMENA
CHILE, SANTIAGO
CHINA, BEIJING
COLOMBIA, BOGOTA
COMOROS, MORONI
DEMOCRATIC REPUBLIC OF THE CONGO, KINSHASA
REPUBLIC OF THE CONGO, BRAZZAVILLE
COSTA RICA, SAN JOSE
CÔTE D'IVOIRE(Ivory Coast), YAMOUSSOUKRO
CROATIA, ZAGREB
CUBA, HAVANA
CYPRUS, NICOSIA
CZECHIA (Czech Republic), PRAGUE
DENMARK, COPENHAGEN
DJIBOUTI, DJIBOUTI
DOMINICA, ROSEAU
DOMINICAN REPUBLIC, SANTO DOMINGO
ECUADOR, QUITO
EGYPT, CAIRO
EL SALVADOR, SAN SALVADOR
EQUATORIAL GUINEA, MALABO
ERITREA, ASMARA
ESTONIA, TALLINN
ESWATINI (formerly Swaziland), MBABANE
ETHIOPIA, ADDIS ABABA
FIJI, SUVA
FINLAND, HELSINKI
FRANCE, PARIS
GABON, LIBREVILLE
THE GAMBIA, BANJUL
GEORGIA, TBILISI
GERMANY, BERLIN
GHANA, ACCRA
GREECE, ATHENS
GRENADA, SAINT GEORGE'S
GUATEMALA, GUATEMALA CITY
GUINEA, CONAKRY
GUINEA-BISSAU, BISSAU
GUYANA, GEORGETOWN
HAITI, PORT-AU-PRINCE
HONDURAS, TEGUCIGALPA
HUNGARY, BUDAPEST
ICELAND, REYKJAVIK
INDIA, NEW DELHI
INDONESIA, JAKARTA
IRAN, TEHRAN
IRAQ, BAGHDAD
IRELAND, DUBLIN
ISRAEL, JERUSALEM
ITALY, ROME
JAMAICA, KINGSTON
JAPAN, TOKYO
JORDAN, AMMAN
KAZAKHSTAN, NUR-SULTAN
KENYA, NAIROBI
KIRIBATI, SOUTH TARAWA
KUWAIT, KUWAIT CITY
KYRGYZSTAN, BISHKEK
LAOS, VIENTIANE
LATVIA, RIGA
LEBANON, BEIRUT
LESOTHO, MASERU
LIBERIA, MONROVIA
LIBYA, TRIPOLI
LIECHTENSTEIN, VADUZ
LITHUANIA, VILNIUS
LUXEMBOURG, LUXEMBOURG
MADAGASCAR, ANTANANARIVO
MALAWI, LILONGWE
MALAYSIA, KUALA LUMPUR
MALDIVES, MALE
MALI, BAMAKO
MALTA, VALLETTA
MARSHALL ISLANDS, MAJURO
MAURITANIA, NOUAKCHOTT
MAURITIUS, PORT LOUIS
MEXICO, MEXICO CITY
FEDERATED STATES OF MICRONESIA (Micronesia), PALIKIR
MOLDOVA, CHISINAU
